age_Ma,S_raw,S_pen,D_raw,D_pen,n_runs
1537.919598,0.000000,0.000000,1.000000,1.000000,200
1547.964824,0.000000,0.000000,1.000000,1.000000,200
1558.010050,0.000000,0.000000,1.000000,1.000000,200
1568.055276,0.000000,0.000000,1.000000,1.000000,200
1578.100503,0.000000,0.000000,1.000000,1.000000,200
1588.145729,0.000000,0.000000,1.000000,1.000000,200
1598.190955,0.000000,0.000000,1.000000,1.000000,200
1608.236181,0.000000,0.000000,1.000000,1.000000,200
1618.281407,0.000000,0.000000,1.000000,1.000000,200
1628.326633,0.000000,0.000000,1.000000,1.000000,200
1638.371859,0.000000,0.000000,1.000000,1.000000,200
1648.417085,0.000000,0.000000,1.000000,1.000000,200
1658.462312,0.000000,0.000000,1.000000,1.000000,200
1668.507538,0.000000,0.000000,1.000000,1.000000,200
1678.552764,0.000000,0.000000,1.000000,1.000000,200
1688.597990,0.000000,0.000000,1.000000,1.000000,200
1698.643216,0.000000,0.000000,1.000000,1.000000,200
1708.688442,0.000000,0.000000,1.000000,1.000000,200
1718.733668,0.000000,0.000000,1.000000,1.000000,200
1728.778894,0.000000,0.000000,1.000000,1.000000,200
1738.824121,0.000000,0.000000,1.000000,1.000000,200
1748.869347,0.000000,0.000000,1.000000,1.000000,200
1758.914573,0.000000,0.000000,1.000000,1.000000,200
1768.959799,0.000000,0.000000,1.000000,1.000000,200
1779.005025,0.000000,0.000000,1.000000,1.000000,200
1789.050251,0.000000,0.000000,1.000000,1.000000,200
1799.095477,0.000000,0.000000,1.000000,1.000000,200
1809.140704,0.000000,0.000000,1.000000,1.000000,200
1819.185930,0.000000,0.000000,1.000000,1.000000,200
1829.231156,0.000000,0.000000,1.000000,1.000000,200
1839.276382,0.000000,0.000000,1.000000,1.000000,200
1849.321608,0.000000,0.000000,1.000000,1.000000,200
1859.366834,0.000000,0.000000,1.000000,1.000000,200
1869.412060,0.000000,0.000000,1.000000,1.000000,200
1879.457286,0.000000,0.000000,1.000000,1.000000,200
1889.502513,0.000000,0.000000,1.000000,1.000000,200
1899.547739,0.000000,0.000000,1.000000,1.000000,200
1909.592965,0.000000,0.000000,1.000000,1.000000,200
1919.638191,0.000000,0.000000,1.000000,1.000000,200
1929.683417,0.000000,0.000000,1.000000,1.000000,200
1939.728643,0.000000,0.000000,1.000000,1.000000,200
1949.773869,0.000000,0.000000,1.000000,1.000000,200
1959.819095,0.000000,0.000000,1.000000,1.000000,200
1969.864322,0.000000,0.000000,1.000000,1.000000,200
1979.909548,0.000000,0.000000,1.000000,1.000000,200
1989.954774,0.000000,0.000000,1.000000,1.000000,200
2000.000000,0.000000,0.000000,1.000000,1.000000,200
